id,section_id,name
"241","22","化学機器"
"242","22","水処理機械"
"243","22","工作機器"
"244","22","半導体"
"245","22","金型製造"
"246","22","精密機器"
"247","22","プラント"
"248","22","非金属加工機械"
"249","22","自動販売機"
"250","22","建設機械"
"251","22","ポンプ"
"252","22","漁業・農業機器"
"253","22","溶接機械"
"254","22","印刷機械"
"255","22","試験機"
"256","22","プラスチック成形機器"
"257","22","交通機械"
"258","23","家・事業所向け設備"
"259","23","注文住宅建築"
"260","23","住居リフォーム"
"261","23","建設・土木設計"
"262","23","衛生設備工事"
"263","23","木材系建材製造"
"264","23","産業用電気設備工事"
"265","23","とび"
"266","23","造園工事"
"267","23","土木工事"
"268","23","インテリア系デザイン"
"269","23","商業施設・公共施設建設"
"270","23","建造物解体"
"271","23","太陽光パネル"
"272","23","通信設備工事"
"273","23","空調設備工事"
"274","23","マンション建築"
"275","23","事業用リフォーム"
"276","23","交通関連土木工事"
"277","23","プラント設備工事"
"278","23","窯業建材・石材"
"279","23","金属建材"
"280","23","ビル建設"
"281","23","分譲型住宅建築"
"282","23","樹脂系建材製造"
"283","23","ゼネコン"
"284","23","河川工事"
"285","23","燃料タンク"
"286","24","水産物専門商社"
"287","24","日用品・化粧品商社"
"288","24","建材商社"
"289","24","食肉卵商社"
"290","24","農産物食品商社"
"291","24","アパレル商社"
"292","24","水産用機械商社"
"293","24","雑貨商社"
"294","24","総合商社"
"295","24","工業用機械商社"
"296","24","電子部品商社"
"297","24","化学品・医療品商社"
"298","24","医療機器商社"
"299","24","紙・パルプ商社"
"300","24","鉄鋼・金属商社"
"301","25","企業研修"
"302","25","製造・技術人材派遣"
"303","25","業務請負"
"304","25","サービス業人材派遣"
"305","25","toCセミナー業界"
"306","25","事務・作業員派遣"
"307","25","コールセンター"
"308","25","事務処理代行"
"309","25","物流人材派遣"
"310","25","医療・福祉派遣"
"311","25","人材紹介"
"312","26","電話機製造"
"313","26","PC販売・修理"
"314","26","携帯・通信回線販売代理店"
"315","26","スマホ製造・修理"
"316","26","通信回線"
"317","26","PC・スマホ周辺機器製造"
"318","26","PC製造"
"319","27","マンション賃貸"
"320","27","マンション売買"
"321","27","戸建売買"
"322","27","レンタルスペース"
"323","27","戸建賃貸"
"324","27","事業用物件・ビル売買"
"325","27","土地売買・賃貸"
"326","27","マンション・ビル管理"
"327","27","事業用物件・ビル賃貸"
"328","27","駐車場運営"
"329","27","不動産賃貸・仲介"
"330","27","デベロッパー"
"331","28","その他業界"
