大分類コード,中分類コード,小分類コード,細分類コード,項目名
D,07,074,0742,れんが工事業
D,07,074,0743,タイル工事業
D,07,074,0744,コンクリートブロック工事業
D,07,075,0000,左官工事業
D,07,075,0751,左官工事業
D,07,076,0000,板金・金物工事業
D,07,076,0761,金属製屋根工事業
D,07,076,0762,板金工事業
D,07,076,0763,建築金物工事業
D,07,077,0000,塗装工事業
D,07,077,0771,塗装工事業（道路標示・区画線工事業を除く）
D,07,077,0772,道路標示・区画線工事業
D,07,078,0000,床・内装工事業
D,07,078,0781,床工事業
D,07,078,0782,内装工事業
D,07,079,0000,その他の職別工事業
D,07,079,0791,ガラス工事業
D,07,079,0792,金属製建具工事業
D,07,079,0793,木製建具工事業
D,07,079,0794,屋根工事業（金属製屋根工事業を除く）
D,07,079,0795,防水工事業
D,07,079,0796,はつり・解体工事業
D,07,079,0799,他に分類されない職別工事業
D,08,000,0000,設備工事業
D,08,080,0000,管理，補助的経済活動を行う事業所（08設備工事業）
D,08,080,0800,主として管理事務を行う本社等
D,08,080,0809,その他の管理，補助的経済活動を行う事業所
D,08,081,0000,電気工事業
D,08,081,0811,一般電気工事業
D,08,081,0812,電気配線工事業
D,08,082,0000,電気通信・信号装置工事業
D,08,082,0821,電気通信工事業（有線テレビジョン放送設備設置工事業を除く）
D,08,082,0822,有線テレビジョン放送設備設置工事業
D,08,082,0823,信号装置工事業
D,08,083,0000,管工事業（さく井工事業を除く）
D,08,083,0831,一般管工事業
D,08,083,0832,冷暖房設備工事業
D,08,083,0833,給排水・衛生設備工事業
D,08,083,0839,その他の管工事業
D,08,084,0000,機械器具設置工事業
D,08,084,0841,機械器具設置工事業（昇降設備工事業を除く）
D,08,084,0842,昇降設備工事業
D,08,089,0000,その他の設備工事業
D,08,089,0891,築炉工事業
D,08,089,0892,熱絶縁工事業
D,08,089,0893,道路標識設置工事業
D,08,089,0894,さく井工事業
E,00,000,0000,製造業
E,09,000,0000,食料品製造業
E,09,090,0000,管理，補助的経済活動を行う事業所（09食料品製造業）
E,09,090,0900,主として管理事務を行う本社等
E,09,090,0909,その他の管理，補助的経済活動を行う事業所
E,09,091,0000,畜産食料品製造業
E,09,091,0911,部分肉・冷凍肉製造業
E,09,091,0912,肉加工品製造業
E,09,091,0913,処理牛乳・乳飲料製造業
E,09,091,0914,乳製品製造業（処理牛乳，乳飲料を除く）
E,09,091,0919,その他の畜産食料品製造業
E,09,092,0000,水産食料品製造業
E,09,092,0921,水産缶詰・瓶詰製造業
E,09,092,0922,海藻加工業
E,09,092,0923,水産練製品製造業
E,09,092,0924,塩干・塩蔵品製造業
E,09,092,0925,冷凍水産物製造業
E,09,092,0926,冷凍水産食品製造業
E,09,092,0929,その他の水産食料品製造業
E,09,093,0000,野菜缶詰・果実缶詰・農産保存食料品製造業
E,09,093,0931,野菜缶詰・果実缶詰・農産保存食料品製造業（野菜漬物を除く）
E,09,093,0932,野菜漬物製造業（缶詰，瓶詰，つぼ詰を除く）
E,09,094,0000,調味料製造業
E,09,094,0941,味そ製造業
E,09,094,0942,しょう油・食用アミノ酸製造業
E,09,094,0943,ソース製造業
E,09,094,0944,食酢製造業
E,09,094,0949,その他の調味料製造業
E,09,095,0000,糖類製造業
E,09,095,0951,砂糖製造業（砂糖精製業を除く）
E,09,095,0952,砂糖精製業
E,09,095,0953,ぶどう糖・水あめ・異性化糖製造業
E,09,096,0000,精穀・製粉業
E,09,096,0961,精米・精麦業
E,09,096,0962,小麦粉製造業
E,09,096,0969,その他の精穀・製粉業
E,09,097,0000,パン・菓子製造業
E,09,097,0971,パン製造業
E,09,097,0972,生菓子製造業
E,09,097,0973,ビスケット類・干菓子製造業
E,09,097,0974,米菓製造業
E,09,097,0979,その他のパン・菓子製造業
E,09,098,0000,動植物油脂製造業
E,09,098,0981,動植物油脂製造業（食用油脂加工業を除く）
E,09,098,0982,食用油脂加工業
E,09,099,0000,その他の食料品製造業
E,09,099,0991,でんぷん製造業
E,09,099,0992,めん類製造業
E,09,099,0993,豆腐・油揚製造業
E,09,099,0994,あん類製造業
E,09,099,0995,冷凍調理食品製造業
E,09,099,0996,そう（惣）菜製造業
E,09,099,0997,すし・弁当・調理パン製造業
E,09,099,0998,レトルト食品製造業
E,09,099,0999,他に分類されない食料品製造業
E,10,000,0000,飲料・たばこ・飼料製造業
E,10,100,0000,管理，補助的経済活動を行う事業所（10飲料・たばこ・飼料製造業）
E,10,100,1000,主として管理事務を行う本社等
E,10,100,1009,その他の管理，補助的経済活動を行う事業所
E,10,101,0000,清涼飲料製造業
E,10,101,1011,清涼飲料製造業
E,10,102,0000,酒類製造業
E,10,102,1021,果実酒製造業
E,10,102,1022,ビール類製造業
E,10,102,1023,清酒製造業
E,10,102,1024,蒸留酒・混成酒製造業
E,10,103,0000,茶・コーヒー製造業（清涼飲料を除く）
E,10,103,1031,製茶業
E,10,103,1032,コーヒー製造業
E,10,104,0000,製氷業
E,10,104,1041,製氷業
E,10,105,0000,たばこ製造業
