code,jsic_group_code,name
"0979","097","その他のパン・菓子製造業"
"0981","098","動植物油脂製造業（食用油脂加工業を除く）"
"0982","098","食用油脂加工業"
"0991","099","でんぷん製造業"
"0992","099","めん類製造業"
"0993","099","豆腐・油揚製造業"
"0994","099","あん類製造業"
"0995","099","冷凍調理食品製造業"
"0996","099","そう（惣）菜製造業"
"0997","099","すし・弁当・調理パン製造業"
"0998","099","レトルト食品製造業"
"0999","099","他に分類されない食料品製造業"
"1000","100","主として管理事務を行う本社等"
"1009","100","その他の管理，補助的経済活動を行う事業所"
"1011","101","清涼飲料製造業"
"1021","102","果実酒製造業"
"1022","102","ビール類製造業"
"1023","102","清酒製造業"
"1024","102","蒸留酒・混成酒製造業"
"1031","103","製茶業"
"1032","103","コーヒー製造業"
"1041","104","製氷業"
"1051","105","たばこ製造業（葉たばこ処理業を除く)"
"1052","105","葉たばこ処理業"
"1061","106","配合飼料製造業"
"1062","106","単体飼料製造業"
"1063","106","有機質肥料製造業"
"1100","110","主として管理事務を行う本社等"
"1109","110","その他の管理，補助的経済活動を行う事業所"
"1111","111","製糸業"
"1112","111","化学繊維製造業"
"1113","111","炭素繊維製造業"
"1114","111","綿紡績業"
"1115","111","化学繊維紡績業"
"1116","111","毛紡績業"
"1117","111","ねん糸製造業（かさ高加工糸を除く）"
"1118","111","かさ高加工糸製造業"
"1119","111","その他の紡績業"
"1121","112","綿・スフ織物業"
"1122","112","絹・人絹織物業"
"1123","112","毛織物業"
"1124","112","麻織物業"
"1125","112","細幅織物業"
"1129","112","その他の織物業"
"1131","113","丸編ニット生地製造業"
"1132","113","たて編ニット生地製造業"
"1133","113","横編ニット生地製造業"
"1141","114","綿・スフ・麻織物機械染色業"
"1142","114","絹・人絹織物機械染色業"
"1143","114","毛織物機械染色整理業"
"1144","114","織物整理業"
"1145","114","織物手加工染色整理業"
"1146","114","綿状繊維・糸染色整理業"
"1147","114","ニット・レース染色整理業"
"1148","114","繊維雑品染色整理業"
"1151","115","綱製造業"
"1152","115","漁網製造業"
"1153","115","網地製造業（漁網を除く）"
"1154","115","レース製造業"
"1155","115","組ひも製造業"
"1156","115","整毛業"
"1157","115","フェルト・不織布製造業"
"1158","115","上塗りした織物・防水した織物製造業"
"1159","115","その他の繊維粗製品製造業"
"1161","116","織物製成人男子・少年服製造業（不織布製及びレース製を含む）"
"1162","116","織物製成人女子・少女服製造業（不織布製及びレース製を含む）"
"1163","116","織物製乳幼児服製造業（不織布製及びレース製を含む）"
"1164","116","織物製シャツ製造業（不織布製及びレース製を含み、下着を除く）"
"1165","116","織物製事務用・作業用・衛生用・スポーツ用衣服・学校服製造業（不織布製及びレース製を含む）"
"1166","116","ニット製外衣製造業（アウターシャツ類，セーター類などを除く）"
"1167","116","ニット製アウターシャツ類製造業"
"1168","116","セーター類製造業"
"1169","116","その他の外衣・シャツ製造業"
"1171","117","織物製下着製造業"
"1172","117","ニット製下着製造業"
"1173","117","織物製・ニット製寝着類製造業"
"1174","117","補整着製造業"
"1181","118","和装製品製造業（足袋を含む）"
"1182","118","ネクタイ製造業"
"1183","118","スカーフ・マフラー・ハンカチーフ製造業"
"1184","118","靴下製造業"
"1185","118","手袋製造業"
"1186","118","帽子製造業（帽体を含む）"
"1189","118","他に分類されない衣服・繊維製身の回り品製造業"
"1191","119","寝具製造業"
"1192","119","毛布製造業"
"1193","119","じゅうたん・その他の繊維製床敷物製造業"
"1194","119","帆布製品製造業"
"1195","119","繊維製袋製造業"
"1196","119","刺しゅう業"
"1197","119","タオル製造業"
"1198","119","繊維製衛生材料製造業"
"1199","119","他に分類されない繊維製品製造業"
"1200","120","主として管理事務を行う本社等"
"1209","120","その他の管理，補助的経済活動を行う事業所"
"1211","121","一般製材業"
"1212","121","単板（ベニヤ）製造業"
"1213","121","木材チップ製造業"
"1219","121","その他の特殊製材業"
"1221","122","造作材製造業（建具を除く）"
"1222","122","合板製造業"
"1223","122","集成材製造業"
"1224","122","建築用木製組立材料製造業"
"1225","122","パーティクルボード製造業"
"1226","122","繊維板製造業"
"1227","122","銘木製造業"
"1228","122","床板製造業"
"1231","123","竹・とう・きりゅう等容器製造業"
"1232","123","木箱製造業"
"1233","123","たる・おけ製造業"
"1291","129","木材薬品処理業"
"1292","129","コルク加工基礎資材・コルク製品製造業"
"1299","129","他に分類されない木製品製造業(竹，とうを含む)"
"1300","130","主として管理事務を行う本社等"
"1309","130","その他の管理，補助的経済活動を行う事業所"
"1311","131","木製家具製造業（漆塗りを除く）"
"1312","131","金属製家具製造業"
"1313","131","マットレス・組スプリング製造業"
"1321","132","宗教用具製造業"
"1331","133","建具製造業"
"1391","139","事務所用・店舗用装備品製造業"
"1392","139","窓用・扉用日よけ，日本びょうぶ等製造業"
"1393","139","鏡縁・額縁製造業"
"1399","139","他に分類されない家具・装備品製造業"
"1400","140","主として管理事務を行う本社等"
"1409","140","その他の管理，補助的経済活動を行う事業所"
"1411","141","パルプ製造業"
"1421","142","洋紙製造業"
"1422","142","板紙製造業"
"1423","142","機械すき和紙製造業"
"1424","142","手すき和紙製造業"
"1431","143","塗工紙製造業（印刷用紙を除く）"
"1432","143","段ボール製造業"
"1433","143","壁紙・ふすま紙製造業"
"1441","144","事務用・学用紙製品製造業"
"1442","144","日用紙製品製造業"
"1449","144","その他の紙製品製造業"
"1451","145","重包装紙袋製造業"
"1452","145","角底紙袋製造業"
"1453","145","段ボール箱製造業"
"1454","145","紙器製造業"
"1499","149","その他のパルプ・紙・紙加工品製造業"
"1500","150","主として管理事務を行う本社等"
"1509","150","その他の管理，補助的経済活動を行う事業所"
"1511","151","オフセット印刷業（紙に対するもの）"
"1512","151","オフセット印刷以外の印刷業（紙に対するもの）"
"1513","151","紙以外の印刷業"
"1521","152","製版業"
"1531","153","製本業"
"1532","153","印刷物加工業"
"1591","159","印刷関連サービス業"
"1600","160","主として管理事務を行う本社等"
"1609","160","その他の管理，補助的経済活動を行う事業所"
"1611","161","窒素質・りん酸質肥料製造業"
"1612","161","複合肥料製造業"
"1619","161","その他の化学肥料製造業"
"1621","162","ソーダ工業"
"1622","162","無機顔料製造業"
"1623","162","圧縮ガス・液化ガス製造業"
"1624","162","塩製造業"
"1629","162","その他の無機化学工業製品製造業"
"1631","163","石油化学系基礎製品製造業（一貫して生産される誘導品を含む）"
"1632","163","脂肪族系中間物製造業（脂肪族系溶剤を含む）"
"1633","163","発酵工業"
"1634","163","環式中間物・合成染料・有機顔料製造業"
"1635","163","プラスチック製造業"
"1636","163","合成ゴム製造業"
"1639","163","その他の有機化学工業製品製造業"
"1641","164","脂肪酸・硬化油・グリセリン製造業"
"1642","164","石けん・合成洗剤製造業"
"1643","164","界面活性剤製造業（石けん，合成洗剤を除く）"
"1644","164","塗料製造業"
"1645","164","印刷インキ製造業"
"1646","164","洗浄剤・磨用剤製造業"
"1647","164","ろうそく製造業"
"1651","165","医薬品原薬製造業"
"1652","165","医薬品製剤製造業"
"1653","165","生物学的製剤製造業"
"1654","165","生薬・漢方製剤製造業"
"1655","165","動物用医薬品製造業"
"1661","166","仕上用・皮膚用化粧品製造業（香水，オーデコロンを含む）"
"1662","166","頭髪用化粧品製造業"
